
aallota,,6,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0
aaltoilla,,25,0,1,0,2,0,0,0,0,0,3,0,1,0,16,2,0
Aaltoin,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aatella,,142,0,0,0,1,3,5,0,23,3,8,1,3,1,35,55,4
aateloida,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
aavistaa,,75,1,1,0,1,0,6,0,3,0,5,0,3,2,29,24,0
aavistella,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Adlercreutz,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ahdata,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ahdistaa,,84,0,3,0,3,0,1,0,1,0,2,1,2,2,38,31,0
ahdistella,,11,1,0,0,0,0,0,0,0,0,0,1,1,0,3,5,0
ahdistua,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ahertaa,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ahkeroida,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ahmia,,28,0,1,0,3,0,0,0,0,0,2,1,2,0,10,9,0
ahtaa,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
aidata,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
aiheuttaa,,37,0,1,0,0,0,1,0,0,0,14,0,1,0,18,2,0
aijo,,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Aijoin,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
aijoit,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aijon,,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
aijonkin,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aijotte,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
aikaansaada,,11,0,0,0,2,0,1,0,0,0,1,0,2,0,4,1,0
aikailla,,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
aikoa,,313,0,1,0,8,1,142,2,4,3,8,16,4,3,103,14,4
ailahtaa,,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
Ain,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ainoa,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
aistia,,8,0,0,0,0,0,1,0,0,0,1,0,0,0,4,2,0
aivankuin,,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
aivastaa,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ajaa,,641,4,13,21,38,26,17,1,31,9,74,61,24,11,225,82,4
ajatella,,965,1,2,0,23,2,75,0,29,9,33,4,41,11,499,224,12
ajattaa,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ajatteluttaa,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ajautua,,8,0,0,0,0,1,0,0,1,0,1,2,0,0,2,1,0
ajelehtia,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ajella,,61,0,0,0,7,0,2,0,1,0,2,1,7,2,26,13,0
akata,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
akka,,7,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0
Alaskallistaa,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
alentaa,,16,0,0,1,0,0,0,0,0,0,5,0,0,0,5,3,2
alentua,,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
aleta,,51,0,1,0,0,0,14,0,1,0,0,1,5,0,20,7,2
alistaa,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
alistua,,19,0,0,0,0,0,0,0,0,2,4,6,1,1,5,0,0
aljettiin,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alkaa,,2948,8,18,0,70,22,1075,2,92,20,126,29,95,47,1156,167,21
allekirjoittaa,,8,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0
aloittaa,,21,0,0,0,2,0,0,0,1,1,4,1,1,1,8,2,0
Alota,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
alotit,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alottaa,,9,0,0,0,0,0,0,0,1,0,3,0,1,0,3,1,0
alotti,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alustaa,,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
ammahda,,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
ammahtaa,,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ammatti,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ammentaa,,36,0,0,0,1,2,1,0,8,0,2,0,2,0,13,7,0
ammottaa,,30,0,0,0,1,1,0,0,3,0,3,2,0,0,16,4,0
ammua,,31,1,1,4,1,0,1,0,3,0,8,1,2,0,6,3,0
ammuskella,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ammuttaa,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
ampua,,127,0,1,5,8,2,1,0,5,1,18,11,4,3,52,14,2
ampuaa,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
analysoida,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
anastaa,,39,0,1,0,1,0,0,0,1,1,13,0,3,0,15,3,1
anda,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
anella,,13,0,0,1,0,0,0,0,1,0,0,0,0,0,5,6,0
angervata,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ann,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Annappa,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Annappas,,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
anoa,,53,0,5,0,1,2,0,0,0,0,1,6,2,0,13,22,1
ansaita,,144,0,0,0,14,1,1,0,2,0,33,1,3,2,62,25,0
ansioittaa,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anta,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
antaa,,3253,8,8,4,57,661,354,0,61,21,531,70,57,19,946,390,66
antautua,,63,0,0,0,3,6,3,0,1,0,5,19,0,2,20,2,2
appaa,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
aprikoida,,15,0,0,0,0,0,0,0,0,0,1,0,2,0,10,2,0
Aprikoitkaamme,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
arastella,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Argylekin,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
arkailla,,6,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0
armahtaa,,77,0,0,0,1,0,0,0,0,1,2,1,3,0,37,32,0
armast,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armastella,,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
armott,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
arpoa,,8,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0
arvailla,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
arvajaa,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
arvata,,170,0,0,0,1,0,14,0,4,1,49,2,4,1,82,9,3
arvella,,327,0,0,0,5,2,26,0,15,3,32,4,13,4,165,47,11
arveluttaa,,11,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,0
arvioida,,20,0,0,1,0,1,0,0,0,0,6,0,0,1,9,1,1
arvostaa,,12,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0
arvostella,,33,0,1,0,2,0,0,0,1,0,3,0,0,0,11,13,2
ase,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
asestaa,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
asetella,,15,0,0,0,0,1,1,0,0,0,0,1,0,1,7,4,0
asettaa,,312,0,0,10,4,46,4,0,4,3,68,34,4,3,100,20,12
asettautua,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
asettua,,239,1,1,0,3,28,3,1,0,5,28,47,8,5,91,15,3
asiata,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
askaroida,,14,0,0,0,1,2,0,0,0,0,0,0,2,2,7,0,0
askarrella,,31,0,0,0,1,1,0,1,1,2,4,0,5,0,13,3,0
askarruttaa,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
askartaa,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
astahtaa,,9,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0
astella,,223,3,1,0,14,4,1,1,5,19,17,11,14,10,95,28,0
astua,,1386,12,18,0,33,65,13,4,54,41,171,168,55,39,558,148,7
astuttaa,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
asua,,498,1,1,0,32,0,2,4,1,5,41,2,150,3,226,29,1
asustaa,,11,0,0,0,2,0,0,0,0,0,0,0,2,0,7,0,0
aueta,,156,0,0,0,1,7,1,0,1,1,14,4,11,1,104,11,0
aukaista,,126,1,0,0,3,11,0,0,0,2,32,2,3,0,60,11,1
aukoa,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
autella,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
autioittaa,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
auttaa,,606,0,1,5,13,5,32,0,19,0,26,34,51,2,273,141,4
avartaa,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
avartua,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
avata,,372,0,1,0,9,20,3,1,1,1,117,8,7,1,170,27,6
avautua,,62,0,0,0,1,6,0,0,2,1,5,0,4,0,38,4,1
avittaa,,20,0,0,0,0,0,1,0,1,0,0,0,0,0,18,0,0
avustaa,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Brigitan,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brusin,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
edellytt‰‰,,10,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,1
edet‰,,16,0,0,0,0,1,2,0,0,0,2,0,1,0,10,0,0
edisty‰,,15,0,0,0,0,0,0,0,0,1,1,0,1,0,9,3,0
edist‰‰,,9,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0
edustaa,,98,0,0,0,0,2,0,0,1,0,5,0,8,0,41,41,0
ehdotella,,25,0,0,0,0,2,1,0,0,1,1,0,1,1,14,2,2
ehdottaa,,44,0,0,0,1,3,1,0,0,1,5,1,0,0,26,5,1
ehk‰ist‰,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ehti‰,,317,0,2,0,2,17,69,0,7,3,22,41,6,3,126,17,2
ehty‰,,12,1,0,0,1,0,0,0,1,0,2,1,1,0,4,1,0
eh‰tt‰‰,,37,0,0,0,2,1,0,0,3,0,3,7,2,1,18,0,0
eitt‰‰,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ekseeraa,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ekstasin,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eksytt‰‰,,12,0,0,4,3,0,0,0,0,0,1,1,0,0,3,0,0
eksy‰,,56,0,1,0,0,5,5,0,2,3,1,11,1,0,24,2,1
Elekee,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
elell‰,,35,2,0,0,0,0,0,0,0,4,5,0,8,1,14,1,0
Elk‰tte,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Elk‰‰,,13,2,0,0,0,0,4,0,1,0,0,1,0,0,2,3,0
elostaa,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
elpy‰,,15,0,0,0,1,0,0,0,1,0,0,1,1,0,10,1,0
elvytt‰‰,,8,0,0,0,2,0,0,0,0,0,0,2,0,0,1,3,0
el‰hdytt‰‰,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
el‰hytt‰‰,,12,0,0,1,0,0,0,0,0,0,2,0,0,0,6,3,0
el‰k‰,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
el‰mˆid‰,,8,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0
El‰pp‰,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
el‰tell‰,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
el‰tt‰‰,,51,0,0,3,8,0,0,0,0,0,5,1,3,0,17,14,0
el‰vˆitt‰‰,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
el‰vˆity‰,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
el‰‰,,841,1,2,0,23,12,61,0,17,20,55,24,106,9,413,88,10
emmekohan,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
empi‰,,5,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
em‰nnˆid‰,,8,0,0,0,1,0,0,0,0,1,0,0,2,0,4,0,0
em‰nt‰,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
enenty‰,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
enent‰‰,,24,0,0,0,0,2,1,0,0,0,3,1,0,1,8,7,1
enet‰,,13,0,2,0,0,0,0,0,0,0,0,1,2,0,7,1,0
ennustaa,,114,0,0,0,4,9,0,0,2,1,13,2,11,0,50,22,0
ennustella,,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0
enn‰tt‰‰,,118,0,0,0,1,4,31,0,0,3,10,9,13,1,36,8,2
ent‰‰,,5,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0
ep‰ill‰,,114,0,1,0,0,0,10,0,4,0,6,0,2,0,49,40,2
ep‰ilytt‰‰,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
ep‰rˆid‰,,18,0,0,0,0,0,0,0,0,0,0,0,1,0,13,3,1
erehty‰,,69,1,0,0,0,0,5,0,1,0,8,3,12,0,37,2,0
erhetty‰,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
eritty‰,,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
eritt‰‰,,6,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0
eriyty‰,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
erkaantua,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
eroitettaisi,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eroittaa,,19,0,0,0,0,0,1,0,4,1,3,0,1,1,5,3,0
eroo,,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
erota,,163,1,2,0,5,2,3,0,48,8,8,2,10,8,60,5,1
erottaa,,242,1,2,15,8,2,3,1,40,2,26,4,11,2,92,33,0
erottautua,,4,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
erottua,,7,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0
er‰st‰‰,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
esi,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
esiinty‰,,148,0,2,0,6,5,2,0,4,23,4,1,29,2,63,7,0
esineesen,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
esitell‰,,24,0,1,1,0,4,2,0,0,0,3,0,0,0,9,2,2
esitt‰‰,,181,1,0,4,1,13,1,2,3,5,25,3,18,2,80,20,3
esiyty‰,,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
estell‰,,17,0,0,0,0,0,2,0,3,0,0,1,0,0,7,3,1
esty‰,,12,0,0,0,0,0,2,0,0,0,2,2,0,0,6,0,0
est‰‰,,199,1,2,0,4,0,8,0,42,1,23,6,1,0,77,32,2
etehesi,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
etoa,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
etsiskell‰,,9,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,0
etsi‰,,399,1,9,0,18,6,8,0,12,2,33,3,13,3,143,143,5
ettes,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ett‰#ei,,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
etuilla,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
et‰h‰ll‰,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
et‰‰nty‰,,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
ev‰stell‰,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ev‰t‰,,30,0,4,0,0,1,7,0,3,0,0,2,0,0,9,4,0
Farinata,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
filosofoida,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
generandi,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
haalia,,8,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,0
haamoittaa,,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
haamottaa,,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0
haaraantua,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
